State/UT,Year,Population(Total),Literacy_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Tot_crimes_SC,Total crime against women,Total crimes against STs,Total crime against children,Overall Crimes,Crime Rate
KERALA,2011,33387677,94,38863,365,521,105,1132,0,1132,299,221,78,71,245,741,3001,4704,1454,3250,10754,340,5155,56,450,21747,15,3756,573,5377,0,65,112665,172137,761,11074,231,1452,350409,515.5704603
LAKSHADWEEP,2011,64429,94,32,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,44,0,0,0,0,92,68.29222865
MADHYA PRADESH,2011,72597565,91.85,308245,2511,2340,139,3406,0,3406,1288,1088,200,118,117,1952,10230,22414,11595,10819,2080,557,1860,12,784,35711,811,6665,762,3732,45,7478,112082,217094,3245,16509,1284,4381,461296,299.0375779
MAHARASHTRA,2011,112372972,82.34,307713,2818,2105,144,1701,0,1701,1669,1252,417,773,291,4249,16313,53449,19270,34179,8556,1883,9098,351,1255,29769,339,3794,1071,7136,0,13024,45114,204902,1143,15293,321,3362,466623,182.3409992
MANIPUR,2011,2721756,76.94,22327,78,245,4,53,0,53,169,116,53,1,154,7,52,719,553,166,70,42,126,12,99,292,1,38,0,39,0,2,1015,3218,0,247,1,87,7377,118.232494
MEGHALAYA,2011,2964007,74.43,22429,170,51,3,130,0,130,87,37,50,49,0,63,145,696,190,506,8,52,166,13,34,197,1,74,1,21,3,90,701,2755,0,267,0,104,6423,92.94849843
MIZORAM,2011,1091014,91.33,21081,26,24,8,77,0,77,6,0,6,1,0,6,336,734,39,695,0,21,66,2,19,97,0,72,1,9,0,37,279,1821,0,159,0,52,4459,166.9089489
NAGALAND,2011,1980602,79.55,1483,46,43,11,23,0,23,34,3,31,7,0,59,73,360,85,275,1,16,31,5,2,55,0,9,0,1,0,15,292,1083,0,36,0,20,2583,54.68034466
ODISHA,2011,41947358,72.87,155707,1477,1621,51,1112,0,1112,1139,1008,131,417,84,1583,3031,8724,2986,5738,1556,250,1391,10,423,7894,465,3207,235,2320,0,3778,20509,61277,1455,8347,484,315,133529,146.0807138
PUDUCHERRY,2011,1244464,85.85,479,32,22,12,7,0,7,12,9,3,5,10,11,65,707,511,196,125,9,54,4,10,853,1,35,16,10,0,243,2119,4362,18,78,0,15,9450,350.5123491
PUNJAB,2011,27704236,75.84,50362,842,997,112,479,0,479,681,517,164,28,143,236,2488,4784,2107,2677,0,281,3571,58,83,4757,143,282,31,1136,0,3576,10175,34883,90,2588,0,622,75710,125.9121529
RAJASTHAN,2011,68621012,66.11,342239,1461,1566,100,1800,0,1800,3204,2713,491,28,72,727,4510,21099,12566,8533,751,741,17497,56,473,17977,514,2447,9,12218,0,8122,70250,165622,634506,19701,1263,1491,357347,241.3575597
SIKKIM,2011,607688,81.42,7096,14,7,8,16,0,16,10,10,0,0,0,5,60,72,8,64,25,4,31,3,4,75,0,24,0,4,0,57,177,596,9,54,8,29,1290,98.07664459
TAMIL NADU,2011,72138958,80.33,130058,1877,2962,28,677,0,677,1984,1743,241,101,11,2066,4848,13924,4911,9013,3009,238,3872,275,706,21167,152,1467,464,1812,0,16076,115163,192879,1391,6315,23,925,402343,267.3714805
TRIPURA,2011,3671032,80.09,10486,163,75,0,205,0,205,154,116,38,11,0,50,227,494,59,435,175,54,99,9,58,1340,30,294,9,702,0,14,1640,5803,22,1356,30,102,12459,158.0754404
UTTAR PRADESH,2011,199581477,67.68,240928,4951,4653,1454,2042,0,2042,8500,7525,975,379,39,3148,5765,36683,21363,15320,5022,3721,9941,270,477,12234,2322,3455,3,7121,0,14380,68575,195135,7702,22468,35,5500,437495,97.77209936
UTTARAKHAND,2011,10116752,78.82,53483,178,189,54,129,0,129,314,283,31,13,1,179,342,2093,840,1253,401,115,519,26,17,852,83,116,72,307,0,696,2078,8774,32,990,0,83,20084,86.72743979
WEST BENGAL,2011,91347736,76.26,88752,2109,2242,486,2363,0,2363,4285,3711,574,236,939,760,455,21446,4642,16804,6019,1264,4171,207,413,13094,510,2363,200,19772,0,3249,56614,143197,59,28919,41,1450,314488,156.7603164
A & N ISLANDS,2012,382095,88.36,8249,15,3,0,12,0,12,8,7,1,5,0,2,71,71,0,71,8,5,31,1,4,62,2,17,4,5,0,6,351,683,0,47,4,28,1457,178.7513576
ANDHRA PRADESH,2012,85467892,67.6,275045,2717,2183,158,1341,0,1341,1870,1403,467,131,1,668,8442,27475,8036,19439,1878,1271,11002,260,980,56768,504,4816,3714,13389,0,13929,39025,192522,3057,25167,666,2274,415730,225.2565209
ARUNACHAL PRADESH,2012,1407014,66.3,83743,73,29,1,46,0,46,82,58,24,20,0,65,215,402,95,307,28,55,85,1,33,438,1,67,2,26,0,94,657,2420,0,200,10,39,5370,171.9954457
ASSAM,2012,31209792,72.59,78438,1368,670,54,1716,0,1716,3812,3360,452,266,7,907,3825,9394,2720,6674,5077,1278,1705,61,2830,6676,140,1840,5,6407,2,2565,27077,77682,4,13470,0,392,170286,248.9026521
BIHAR,2012,103993664,62.4,94163,3566,5452,285,927,0,927,4807,3789,1018,540,54,1266,3758,17667,6404,11263,10871,1650,3933,40,799,45827,1275,118,37,3686,4,4631,35421,146614,4821,9836,2894,2894,316629,140.9835892
CHANDIGARH,2012,1056267,86.9,114,21,44,5,27,0,27,87,66,21,3,9,63,235,1549,894,655,49,34,234,2,9,42,5,45,25,73,0,3,1042,3606,2,241,0,96,8875,341.3909551
CHHATTISGARH,2012,25618850,71.5,135191,998,593,26,1034,0,1034,450,350,100,64,4,412,3334,5341,2358,2983,910,170,925,53,330,10855,81,1601,162,980,0,2888,23387,54598,262,4208,344,1881,116021,213.1165138
D & N HAVELI,2012,344303,78.39,491,7,2,0,3,0,3,13,9,4,2,0,2,22,68,36,32,11,10,4,0,12,25,0,2,0,0,0,23,112,318,0,14,4,8,720,92.36050804
DAMAN & DIU,2012,243608,87.18,112,3,5,0,5,0,5,3,0,3,1,0,3,26,55,42,13,9,6,8,0,11,17,0,0,0,3,0,38,46,239,0,8,0,8,541,98.1084365
DELHI,2012,17117244,86.81,16579,521,439,82,706,0,706,3970,2160,1810,28,13,608,1715,22032,14391,7641,79,341,2491,61,79,1747,134,727,208,1985,0,913,15408,54287,44,5920,0,4462,135282,317.1480175
GOA,2012,1464303,86.65,3702,45,35,3,55,0,55,24,16,8,6,0,25,356,915,300,615,122,64,205,16,34,266,0,49,16,24,0,233,1115,3608,10,160,1,122,8210,246.3970913
GUJARAT,2012,60650119,89.3,196024,1126,557,43,473,0,473,1720,1527,193,287,19,1366,4695,15952,9057,6895,1758,1240,1361,216,282,10234,21,745,93,6658,0,5573,75702,130121,288,9517,221,1327,278387,214.5436846
HARYANA,2012,25398397,80.7,44212,991,910,68,668,0,668,1349,900,449,204,176,711,5129,17590,12979,4611,1424,740,1798,20,191,3277,258,525,434,3137,0,1484,21396,62480,55,5922,0,1015,144567,245.9997771
HIMACHAL PRADESH,2012,6864044,75.48,55673,113,53,9,183,0,183,172,152,20,1,0,10,928,769,265,504,494,137,373,1,131,1173,2,250,68,251,0,562,6877,12557,1,906,3,266,26238,182.938804
JAMMU & KASHMIR,2012,12569312,83.5,222236,124,511,16,303,0,303,1093,1041,52,6,0,81,1395,2022,557,1465,1400,163,612,17,190,322,8,1322,347,301,0,371,14004,24608,2,3322,0,40,52634,195.7784165
JHARKHAND,2012,42523879,69.2,79714,1694,842,92,812,0,812,1056,786,270,284,33,494,1216,6680,2215,4465,2331,639,1566,14,136,4785,302,284,10,1261,3,1594,14818,40946,696,3458,287,113,90440,96.28942835
KARNATAKA,2012,61290592,66.55,191791,1860,1923,71,621,0,621,1451,1070,381,211,536,2207,5792,18418,8886,9532,7502,401,5822,84,416,20350,218,2978,100,3684,32,876,58468,134021,2605,8703,374,875,288532,218.6648809
KERALA,2012,33564882,94.5,38863,374,497,107,1019,0,1019,281,214,67,72,289,725,2710,4078,1262,2816,10938,301,4681,68,568,21170,32,3735,498,5216,0,48,101582,158989,810,10714,124,1324,323356,473.6766243
LAKSHADWEEP,2012,64807,94.2,32,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,6,10,0,0,0,3,3,0,1,0,1,0,0,32,60,0,2,0,0,127,92.58259139
MADHYA PRADESH,2012,72789121,93.1,308245,2373,2332,114,3425,0,3425,1302,1127,175,107,127,1940,10019,23182,12279,10903,1951,576,2021,31,814,35549,743,6655,774,3988,6,7721,114585,220335,2875,16718,1218,5168,468579,302.703202
MAHARASHTRA,2012,113898552,82.88,307713,2712,2168,171,1839,0,1839,1583,1140,443,793,322,6949,15648,47476,17855,29621,8860,1900,9398,291,1246,28392,329,3935,1294,7415,0,13311,46668,202700,1091,15952,308,3456,456298,177.965388
MANIPUR,2012,2768483,77.06,22327,83,409,4,63,0,63,223,133,90,8,171,3,53,903,736,167,72,67,136,2,74,285,0,49,1,43,0,2,1086,3737,0,289,2,104,8663,134.9836716
MEGHALAYA,2012,3031103,74.84,22429,137,63,8,164,0,164,92,24,68,52,1,46,145,543,152,391,0,44,108,13,61,157,1,43,0,16,0,102,761,2557,0,248,0,91,5913,84.35873014
MIZORAM,2012,1110132,91.66,21081,30,21,7,103,0,103,8,3,5,2,0,4,347,605,24,581,1,12,42,6,12,103,0,85,0,8,0,34,336,1766,0,199,0,95,4248,159.0801815
NAGALAND,2012,2047069,80.48,1483,75,42,6,21,0,21,27,10,17,1,0,54,65,381,65,316,3,22,39,4,7,30,0,16,0,0,0,31,266,1090,0,47,0,13,2609,53.24686173
ODISHA,2012,42526879,73.15,155707,1548,1879,54,1458,0,1458,1542,1364,178,402,99,1613,3430,9630,3210,6420,2205,317,1607,19,469,8223,525,4187,304,2638,0,3605,22203,67957,2265,10476,688,418,148544,159.7977599
PUDUCHERRY,2012,1271845,86.1,479,29,27,12,13,0,13,19,16,3,5,15,16,77,658,462,196,126,9,90,6,21,818,0,9,2,6,0,263,2060,4281,24,46,0,32,9252,336.59762
PUNJAB,2012,28008981,76.11,50362,855,1045,104,680,1,679,919,689,230,48,184,213,2828,5272,2011,3261,1,289,3451,49,74,4186,118,340,31,1293,0,3405,10405,35790,71,3151,0,877,78451,127.780443
RAJASTHAN,2012,69819785,66.76,342239,1461,1538,98,2049,0,2049,3243,2697,546,31,74,807,4610,23314,14107,9207,573,682,19646,49,475,17614,478,2352,18,13312,0,8284,70240,170948,653748,20906,1351,1807,370502,244.8417737
SIKKIM,2012,615688,81.42,7096,7,7,0,34,0,34,10,10,0,0,0,6,65,117,17,100,22,3,31,1,20,91,1,19,0,4,0,32,58,528,5,68,4,30,1217,85.75772144
TAMIL NADU,2012,72867204,80.88,130058,1949,2954,44,737,0,737,1945,1693,252,97,19,1898,4457,11996,3915,8081,3136,262,4151,377,726,22100,110,1494,382,1965,0,15499,124176,200474,1647,6381,27,1036,415626,275.1223994
TRIPURA,2012,3717661,80.89,10486,124,79,2,229,0,229,139,114,25,7,0,60,239,565,140,425,128,47,105,9,59,1504,37,314,7,858,0,10,1742,6264,76,1559,29,20,13461,168.493039
UTTAR PRADESH,2012,202226609,67.98,240928,4966,4811,1410,1963,0,1963,8878,7910,968,322,68,3159,6187,37376,22773,14603,5676,3638,10713,205,327,12290,2244,3247,8,7661,0,14406,68538,198093,6202,23033,44,6033,444403,97.95595198
UTTARAKHAND,2012,10260421,79.22,53483,217,161,44,148,0,148,297,256,41,29,3,144,391,1913,949,964,369,137,529,22,17,1022,71,139,73,368,0,670,2118,8882,33,1055,3,122,20122,86.56564872
WEST BENGAL,2012,92575564,76.88,88752,2252,2854,522,2046,0,2046,5117,4168,949,279,875,816,464,22991,5158,17833,6611,1391,5300,352,396,15923,593,3345,556,19865,12,4385,64482,161427,85,30585,91,1706,353008,174.3732288
